# PSEUDOCODE THAT WAS TRANSCRIBED AND RUN, AND WHAT THE RUN MEASURED.
#
# WHAT THIS CHANNEL PROVES, AND WHAT IT DOES NOT.
#
# This skill's headline caveat is that citations are ATTRIBUTED, not verified: check.py proves
# a claim points at a real entry with a locator, never that the cited paper says what the
# document claims. Executing a pseudocode block is a THIRD thing, narrower than either:
#
#   check.py green     -> the citation is well-formed.
#   a row here         -> the block, transcribed literally, produces the number printed beside
#                         it. The block is self-consistent and implementable.
#   `verified:` header -> a human read the cited work. NO GAIA DOCUMENT CARRIES THIS.
#
# A green row here does NOT mean the algorithm is the one in the cited paper. A block can run
# perfectly and still be attributed to the wrong source -- the clipmap and Bruneton-Fresnel
# defects in source-findings.tsv were both exactly that. Do not let this file be read as
# verification of provenance.
#
# WHY IT EXISTS. Four of the nine severe/high defects found in the 2026-09-02 review were
# invisible to reading and only appeared on execution: a NaN that scalar Python `min` hides
# and GPU `min` propagates, a droplet loop that never writes the variable it reads, a talus
# artefact whose axis was stated backwards, and a pass count wrong by 10x. Reading found none
# of them. An unrun block is an unverified block, and this file is the record of which is which.
#
# PROVENANCE COLUMN. `lead` = re-executed by the person recording the row, against the current tree, numbers
# below are that run's. `agent` = measured by the reviewing agent and recorded on its report,
# NOT independently re-run. The distinction is the same one the skill makes everywhere else,
# and rows are not promoted from agent to lead without an actual second run.
document	block	what was asserted	what the run measured	outcome	provenance
stratigraphy-and-lithology.md	does the document's own prescribed fix for the missing mesa tread actually work?	its recommendation to 'run thermal after the layered hydraulic pass with a per-bed talus angle', offered as the fix for its headline negative result	Synthetic butte, 192^2 at 50 m cells: a 400 m escarpment, 100 m beds, resistant talus 60 deg and weak 32 deg, relaxed to convergence. Talus limit ALONE moved the escarpment from 1.998 km to 1.996 km -- 2 m on a 2 km butte -- and area_hard went 49.61% to 48.91% against single-angle controls at 49.46% (32 deg), 49.52% (45 deg) and 49.62% (60 deg), i.e. per-bed angles are indistinguishable from one angle on that measure. Mass conserved to 1.6e-14%. Adding a weathering term on steep faces and CONTROLLING FOR TOTAL MASS REMOVED: uniform weathering destroys the landform (tread std 1.01 to 7.21 m, tread mean 500.02 to 151.01 m); bed-selective weathering gives textbook parallel retreat, scarp 1.998 to 1.360 km with the tread unchanged at std 1.01 and mean 500.02.	THE PRESCRIPTION WAS WRONG AND IS CORRECTED. A slope limit only moves material where the slope exceeds it, so once the face sits at the limit the pass converges and nothing is undermined; retreat needs a REMOVAL term, and the per-bed quantity that matters is the weathering rate, not the talus angle. The talus angle makes the debris apron; the rate makes the landform. A SECOND defect surfaced from the same runs: area_hard cannot detect a mesa even when one is present -- it FELL to 44.66% in the run that produced correct parallel retreat, because retreat shrinks the cap and the metric counts map area. The document now measures shape (tread standard deviation, scarp position) for that question and says why the area metric is the wrong instrument for it.	lead
sketch-based-authoring.md	before / during / after -- when a user constraint meets an erosion pass	the document's spine, that the timing of the constraint is the architectural choice and each arm fails differently	Re-ran w7/constraint_solvers.py unmodified. Same terrain, same crest, same 200 steps. BEFORE (initial condition) keeps 18.8% of visible relief, 15 pits, skirt curvature 0.69. DURING (re-imposed every step) keeps 93.4%, 16 pits, skirt curvature 88.29 -- 128x the control. AFTER (smooth stamp) keeps 93.0%, 17 pits, curvature 1.76; the same stamp hard-edged keeps 94.1% but produces 28 pits against a control of 15. The per-step projection re-adds 4562 cell-metres on step 1 and is still re-adding 867 -- 19% of that -- on step 200, so it never reaches a fixed point. Section 4, timing each operation in isolation on 257^2: one diffusion step 516.7 us, one whole-grid projection 108.3 us (21%), bbox-restricted 25.4 us (5%).	ALL REPRODUCE. The structure of the argument is what makes it worth having: DURING wins on retention and is rejected anyway, on a skirt curvature of 88.29 against 0.69 -- and section 4 exists precisely to close the obvious objection, showing the projection costs 21% of a solver step, so it is NOT rejected on cost. A recommendation that beats its rival on the rival's own strongest ground is the form this corpus should aim for.	lead
sketch-based-authoring.md	how long a drawn ridge survives hillslope diffusion	the closed form A(t) = sigma/sqrt(sigma^2 + 2Dt) and the half-life n = 1.5 sigma^2/(D dt)	Re-ran the same script. Predicted and measured half-life are IDENTICAL at every width tested: 30, 120, 480 and 1920 steps for sigma = 2, 4, 8, 16. Amplitude after 200 steps 0.218 / 0.408 / 0.667 / 0.873, crossing 0.5 between sigma = 4 and 8 as the crossover sigma >= sqrt(2DT/3) = 5.16 cells requires. Checked the derivation independently rather than only the arithmetic: a Gaussian under the heat equation keeps its mass while its variance grows as sigma^2 + 2Dt, so amplitude falls as sigma/sqrt(sigma^2+2Dt) and halves at t = 1.5 sigma^2/D. A ridge is a 1D profile extended along its length, so the 1D law is the right one.	CONFIRMED, derivation and measurement both. Predicted == measured exactly is expected here rather than suspicious, because the closed form is exact for a Gaussian under linear diffusion -- so the run is checking the implementation, not the law. The agent reported that its first attempt used 4Dt instead of 2Dt and the measurement caught it, which is the check working as intended. The document's own caveat is correct and important: this is measured for linear diffusion ONLY and is not assumed to carry to droplet erosion or to K*A^m*S^n incision.	lead
sketch-based-authoring.md	Laplace versus biharmonic interpolation of a sparse drawn constraint	that a membrane creases at the constraint and a clamped plate passes through it smoothly	Re-ran the same script. 65^2, both systems assembled densely and solved exactly (residuals 2.33e-15 and 1.15e-14, so no iteration error). Height shed in the first cell off the drawn line: Laplace 4.20%, biharmonic 0.26% -- a factor of 16.5. Both are global: 92.0% and 79.9% of the domain sits above 1% of the constraint height.	CONFIRMED, and one folk claim was correctly REFUSED. The textbook biharmonic overshoot did not appear -- the plate undershoot measured -2.2e-05, negligible for this configuration -- and the document says so instead of repeating the expected result. Separately the agent withdrew a claim that only Gain's (a^2-1)^2 falloff is C1 after measuring smoothstep as identical (both 0.002 m/cell against a hard cut's 40.0); the document now says what matters is THAT the weight is C1, not which one. Two folk claims tested, two corrected -- this is the behaviour the wave is meant to produce.	lead
seamless-and-periodic.md, noise-and-warping.md	the exact condition on lacunarity for a periodic fBm	the document's own summary that the lacunarity must be 'rational with a denominator dividing the period'	Re-ran w8/m1_periodic_noise.py: 6-octave fBm at period 64 wraps to 4.8e-14 at lacunarity 2.0, 3.5e-13 at 3.0 and 3.8e-14 at 1.5, and FAILS at 4.7e-02 for 1.25 and 0.51-0.58 for 1.93, 2.01 and 2.1. Then checked the stated rule symbolically with exact rationals: lacunarity p/q in lowest terms, n octaves, testing whether T*lac^k is integral for every k. The rule 'q^(n-1) divides T' predicts the outcome for 2, 3, 3/2, 5/4, 7/4, 9/8 and 5/2 at T=64 without exception, and predicts the escape -- 5/4 needs 4^5 = 1024 and does wrap at T=1024.	THE MEASUREMENTS REPRODUCE AND THE DOCUMENT'S OWN SUMMARY OF THEM WAS WRONG. 5/4 has denominator 4, which divides 64, and fails anyway -- the counter-example sat two lines below the rule it disproves. Corrected in both places to q^(n-1) | T, with the reason (the highest octave is binding, because that is where the denominator has compounded most) and the escape (grow the period, do not abandon the lacunarity). SEPARATELY this corrects noise-and-warping.md, which recommends detuning lacunarity off 2: that recommendation is incompatible with a tiling build, and it costs nothing to drop there, because that document's OWN table already measures per-octave offsets recovering the pinch grid as well as the detune does (0.44 against 0.44) and a translation leaves a periodic function periodic.	lead
surface-and-scale-space.md	which padding a band split needs on a PERIODIC domain	that document's recommendation of `reflect`, argued from lattice parity on an open tile	Re-ran w8/m6_pyramid_padding.py. On a periodic 256^2 field, low-band step across the wrap seam as a multiple of the mean interior step, at L=5: wrap 1.19, reflect 221.53, symmetric 397.69, edge 523.04. Round trip 1.1e-16 for EVERY mode. Also the periodic phase rule: the split reproduces the infinite-periodic low band iff N = 0 (mod 2^L) -- 0.000e+00 at N=256 for L=2,3,5 and at N=252 for L=2, and wrong by up to 22% of relief at N=250.	CONFIRMED, and it is an ADDITION rather than a reversal -- reflect remains right for an open tile on the parity argument this corpus measured earlier, and wrap is the only right pad when the domain wraps. The sharper point is the second one: this is the SECOND failure that surface-and-scale-space.md's own recommended validation cannot see. Its round-trip assertion is blind to a 221x seam for exactly the reason it is blind to the low band's volume error -- the error lives in how the low band and the residual divide the field, not in their sum. Both are now stated together as one blind spot with two symptoms.	lead
sea-ice.md	does a Voronoi partition reproduce the published floe-size distribution?	the cheap procedural recipe -- scatter points, tessellate, call the cells floes	Re-ran w9/floe_partition.py. Poisson-Voronoi fits a noncumulative slope of -0.20, -0.53 and -0.07 at N = 300, 1000, 3000 against an observed -1.79 +- 0.08; CV of cell area 0.52-0.53 against 8.8-13.1 for a true power law; the largest tenth of cells holds 0.21 of the ice against 0.88. Controls recover -1.80 and -1.99 from synthetic power laws of true -1.8 and -2.0, so the fitter is sound and the miss is the partition's. Clustered seeds, Laguerre with power-law radii, recursive fracture and Voronoi-plus-merge land between -0.76 and -1.36 across five realisations each; none arrive.	NEGATIVE RESULT CONFIRMED, and the agent's own methodological correction is visible in the output and worth keeping. Its first single-seed Voronoi-plus-merge run showed -1.55 to -1.63, which looks like a near-match; the five-realisation range for that construction is -1.49 to -0.92, so a single seed can easily land there by luck. It averaged, reported -1.18, and kept the earlier number out of the document. A one-seed run of a stochastic construction is not a measurement.	lead
mask-operators.md	the sign of the chamfer distance error	the document's claim that chamfer distances 'over-estimate systematically', 'everywhere', with hajdu2012's E = 0.0572 quoted as '+5.7% too far'	Wrote an independent chamfer implementation (forward/backward raster scans, 3-4 and 5-7-11 masks, 201^2, single centre seed, cells beyond r = 20) and compared against the exact Euclidean distance. 3-4: most positive +0.0541 at 18.4 deg, most negative -0.0572 AT 45 DEG, 25.0% of cells reading short. 5-7-11: +0.0198 / -0.0161, 58.1% of cells reading short. Two critics reported this independently and my numbers match both to four decimals.	THE DOCUMENT WAS WRONG AND ITS OWN NEXT SENTENCE DISPROVED IT. The published constant 0.0572 is the maximum UNDER-estimate, at 45 degrees, which the same paragraph derives correctly two sentences later (4/3 = 1.333 against sqrt(2) = 1.414 is SHORT by 5.7%). For 5-7-11 the majority of cells read short. The +0.45% that motivated 'systematically positive' is a MEAN over one polyline field, and the sign of a mean was attached to a magnitude that is an absolute value. Corrected to a bipolar table, and the failure row reframed from a bias to a shape: the thresholded region bulges on the diagonals and pulls in near 18 degrees.	lead
coastal-erosion.md	whether the printed angle expression carries the sign of mu or of -mu	the document's sentence that eq. (10)'s sign 'is carried by' (6/5)sin^2(psi) - cos^2(psi)	MY FIRST CHECK APPEARED TO REFUTE THE CRITIC AND WAS ITSELF WRONG. Differentiating Qs numerically with respect to psi and forming mu = -(1/D) dQs/dpsi gave the expression and mu the SAME sign at 20 and 60 degrees, which looked like a clean rebuttal. That test silently assumed the derivative is taken with respect to psi. It is not: mu is differentiated by SHORELINE ORIENTATION, and psi is the wave approach angle relative to the shore normal, which runs the other way. The physics settles it without the paper: below 42 degrees a coast SMOOTHS, which is mu > 0, and the expression measures -0.7426 at psi = 20; above it a coast roughens, mu < 0, and the expression measures +0.6500 at psi = 60.	CRITIC CONFIRMED, MY REBUTTAL WITHDRAWN. The expression's ZERO is exact and verified twice (42.3920 deg by two routes); its SIGN is -mu. The document now says so in the code comment and in a warning, gives the corrected expression, and states why the error is silent and total: every regime inverts, and the threshold still lands at exactly the right angle, so the obvious check passes. Recording the failed rebuttal because the lesson generalises -- a numerical check that assumes a convention cannot test a claim about that convention.	lead
surface-and-scale-space.md	is the a-trous alternative correctly dismissed?	the dismissal of an undecimated split as costing (L+1)x the field in storage against 1.33x	The recommended recipe builds TWO bands, lo and hi = h - lo; (L+1)x is the cost of a full undecimated PYRAMID, which it never builds. An a-trous low band is L dilated separable convolutions in place: 2 fields, the same as the decimated version. Measured on the same kernel: support radius 46/94 px decimated against 30/62 a-trous at L = 4/5; low band under a 1/2/4/8 px shift drifts 2.23 / 4.35 / 8.02 / 12.35 m decimated and 0.00 / 0.00 / 0.00 / 0.00 a-trous; wall time 512^2 L=5 0.096 s against 0.142 s.	THE DISMISSAL WAS WRONG ON ITS STATED GROUND and the alternative is the better default for the case this skill targets. For a TILED build the a-trous form needs 48% less halo at L = 5, is exactly shift-invariant where the decimated pyramid drifts metres, and makes every phase rule in the document vacuous -- for about 1.5x the arithmetic. The recommendation is now a stated crossover rather than a dismissal: decimated when untiled or when many bands are wanted (the 4^-k storage decay is what makes depth affordable there), a-trous when tiled.	lead
stratigraphy-and-lithology.md	outcrop width, and the units the sampler actually uses	w = T / sin(delta), and the resolution rule T >= 4*cellSize*sin(delta)	The block builds s by adding tan(delta)*horizontal to a HEIGHT, so a bed's thickness is a VERTICAL interval of s. A vertical span T crops out over T/tan(delta); a perpendicular thickness T*cos(delta) crops out over T*cos/sin -- the same distance written two ways. Using the vertical T with T/sin overstates by 1/cos(delta): measured against the sampler's own output at 1 m cells, 0.06% at 2 deg, 1.5% at 10 deg, 15% at 30 deg and 2x at 60 deg.	CONFIRMED. Invisible at the shallow dips the results table quotes and wrong at the top of the document's own stated range, which is exactly where the rule is about to be used -- the rule under-constrained, demanding 200 m at 30 deg on a 100 m grid where 231 m is needed. Formula, rule and failure row all corrected to tan, with the vertical-versus-perpendicular distinction stated. The 1.4-cells headline figure survives either way (1.42 against 1.44 cells), so no measured claim changed.	lead
hydraulic-erosion.md	does 'separated piles are unaffected either way' hold?	my own earlier claim, from the per-class repose measurement	Re-ran my own configuration: co-located cones give an order difference of 0.253 m under the composite scheme and 0.000 under the bedrock-only scheme, with composite slopes 38.00 and 54.58 deg -- the 0.25 m and 54.6 deg I published both reproduce exactly. But sweeping the separation of two 12 m cones at 32 and 38 deg: centres 12 cells apart still differ by 0.3803 m between orders, 16 cells by 0.0158 m, and 24 cells or more by exactly 0.0000.	MY MAGNITUDE STANDS, MY QUALIFIER DID NOT. A critic reported 0.42 m for the co-located case, which did NOT reproduce -- that was a different cone configuration, and my 0.253 is what my stated setup gives. Its substantive point holds anyway: 'separated' is the wrong condition, because two piles whose peaks are apart can still have overlapping RUNOUTS, and order-independence only arrives once the runouts stop meeting. Corrected to name the runout, with the measured separation sweep.	lead
mask-to-material.md	how wide is a height-blended boundary?	the claim that `depth` is the transition width in weight units	Re-read the measurements both critics cited from w6/colour_blend.py. There are TWO widths and the document reported one as both. Per texel the 10-90% flip takes 0.89 x depth at every depth tested (0.018, 0.089, 0.259 at depth 0.02, 0.10, 0.30). The ENSEMBLE band -- the range of t over which the surface is a visible mixture -- measures 0.56, 0.56, 0.61, essentially independent of depth and 30x wider than the per-texel figure at depth 0.02.	CONFIRMED BY TWO CRITICS INDEPENDENTLY AND CORRECTED. The table was honestly labelled 'per texel'; the bolded sentence drawn from it was not, and a reader sizing a transition band from depth = 0.02 would ask for 0.018 and get 0.56. `depth` sets how DITHERED the boundary is, not how wide -- which is still the parameter worth authoring, and the table's strongest row already says why: 100% of texels mixed at t = 0.5 under alpha blending against 4.9% under height blending.	lead
mask-to-material.md	is the sRGB round trip float64-exact?	the claim that decode(encode(x)) over 10001 samples of [0,1] is accurate to 4.4e-16, 'i.e. float64 exact'	Reproduced 4.441e-16 over 10001 samples of [0,1]. Then resampled 300001 points across [0.0030, 0.0033], where the two branches actually disagree: max round-trip error 2.325e-09, seven orders of magnitude worse.	THE NUMBER IS RIGHT AND THE CONCLUSION DRAWN FROM IT WAS NOT. 4.4e-16 is a sampling artefact -- a coarse grid steps over the knot. The curve is not float64-exact; it is exact everywhere you are unlikely to sample. The practical conclusion is unchanged, because 2.3e-09 is far below 16-bit quantisation, but the document now gives the real reason rather than a lucky one.	lead
mask-operators.md	the `infinity` floor for a squared-distance transform	the claim that meijster2000's `m + n` suffices as the infinity of an m x n grid	Transcribed the document's own Felzenszwalb Algorithm 1 with its stated intersection formula, 64^2, single seed at (5,5), and compared against analytic Euclidean distance. INF = 1e12: max error 0.0000. INF = m+n = 128, as the document said: max error 70.7107 cells -- true 82.02 computed 11.31, because everything beyond sqrt(128) = 11.31 saturates. The correct floor must exceed m^2 + n^2 = 8192.	CONFIRMED. A constant was imported across a units boundary: m+n is the infinity of Meijster's FIRST phase, which carries unsquared per-column distance, while this pass is squared throughout -- as the bullet immediately above it insists. The document's own recommended unit test, columns-then-rows == rows-then-columns, PASSES anyway because the corruption is symmetric in both orderings, so the check a reader would run is blind to it.	lead
terrain-analysis-masks.md	the sign of northness against the document's own gradient convention	the instruction that northness is `-sin(aspect)` because a north-up raster's row index increases southward	Built a pure north-facing slope and evaluated the document's own stencil: line 73 defines H = (Z2 - Z8)/(2L) as dz/dy with +y NORTH, and line 43 defines aspect = atan2(-dzdy, -dzdx). With north low and south high, H = -1.00, dz/dx = 0, aspect = 90.0 deg, and +sin(aspect) = +1.000 -- correct for a slope that faces north. The prescribed -sin gives -1.000.	CONFIRMED. `-sin` is right only if dzdy is a raw ROW difference, i.e. +y south, which is the opposite of the convention this document establishes at line 73 and uses in every curvature expression. The document switches conventions mid-file without saying so, and a reader following its own H gets exactly the inverted result its failure table exists to prevent. Corrected to state the dependency rather than a bare sign, and the failure row now names the mismatch instead of one side of it.	lead
MY OWN CORRECTIONS KEEP LANDING IN ONE COLUMN AND NOT ITS SIBLING	four separate fixes this session, in stratigraphy-and-lithology.md, surface-and-scale-space.md, mask-to-material.md and terrain-analysis-masks.md	that correcting a claim in the body corrects the document	It does not. FOUR times today a correction was applied to the prose and left standing in the failure table, the front-matter locator, or a derived number. The sharpest: I rewrote terrain-analysis-masks.md's northness Symptom cell to say the sign DEPENDS on the dzdy convention, left the Fix cell reading `Negate the gradient; -sin(aspect)` -- one side of the very mismatch the symptom names -- and then wrote a register row claiming 'the failure row now names the mismatch instead of one side of it'. A reviewer found it an hour later. Earlier the same day: the T/sin -> T/tan formula fix left four derived numbers at the sine value; the a-trous storage figure survived in two places after being retracted; and mask-to-material's retracted `depth is the transition width` survived three times, once as a FIX.	PROCESS DEFECT, RECORDED BECAUSE DISCIPLINE HAS DEMONSTRABLY NOT FIXED IT. After correcting any claim, grep the WHOLE FILE for other statements of it -- body, failure table, front-matter locator, code comment, derived number -- before committing. The failure table is the highest-risk site because it is written as an imperative and a reader acts on it without reading the body. Three of the four instances were caught by an outside reviewer, not by me.	lead
bounded-dmax horizon is not recoverable from the unbounded sweep	driver-fields.md, "The two fields want the same sweep"	lead	Flat profile, z[3]=1.0, z[40]=50.0, horizon(i)=max over j>i of (z_j-z_i)/(j-i). Unbounded answers retain only cells 40+; cell 3 is never the unbounded horizon for any i<3 and is discarded. At dmax=10 cell 3 IS the horizon for i=0,1,2 -- angles 0.3333, 0.5000, 1.0000.	CONFIRMS the critic and REFUTES the document's previous claim that the two bakes are "same algorithm, same code path, two parameterisations". Bounding the search distance turns the query into a sliding window, which the pointer chain and the hull both destroy by discarding dominated candidates. Document corrected to say the two bakes are not the same computation.
I repeated my own recurring defect and caught it one step later	hydraulic-erosion.md:14, during the olsen2004 page correction	lead	Bulk-replacing "olsen2004 p. 5" -> "p. 6" hit a line that was NOT the formula citation: it claimed p.5 "opens its erosion chapter". Checked the artefact after editing: the "Erosion algorithms" heading IS on p.5, so the original was right and my edit made it wrong. Reverted.	Fifth instance of MY OWN CORRECTIONS LANDING BY PATTERN RATHER THAN BY CHECK. The four earlier ones were caught by reviewers; this one I caught myself, one step later, only because the same artefact was still open. The rule that works is: verify each occurrence against the source, never regex a page number across a file.
